job_title,job_date,job_desc,job_tasks,comp_name,comp_type,comp_size,eco_activity,qualifications,region,city,benefits,contract,positions,exper,gender,salary_sep,benefits_sep,occupied_positions,total_positions,experience (Years),job_date_gregorian,city_corrected
بائع,26/05/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة بيت قطن للتجارة شركة شخص واحد,خاص,متوسطة فئة أ,البيع بالجملة للملابس الرياضية,"['Skill data', 'تسويق', 'مبتدئ']",المنطقة الشرقية,AL BATALI...,"['Salary', '4000.0']",دوام كامل,0 / 5,0 Years,both,4000.0,غير محدد,0,5,0,2022-12-20,Hafar Al-Batin
مدير حساب عميل,26/05/1444,['إدارة محفظة من حسابات العملاء المهمين، والحفاظ على العلاقات مع كبار العملاء وتكوين علاقات جديدة، والإشراف على تقديم الحلول للعملاء.'],"['   بناء علاقات مع كبار العملاء والمحافظة عليها، وتحديد احتياجاتهم وشواغلهم وتقديم الاستجابة الملائمة.', '  تحديد العملاء المحتملين الجدد، والعمل على فرص النمو، وبدء قنوات تواصل مع العملاء الجدد المستهدفين، أو متابعة هذه القنوات.', '  توجيه الفرق بهدف تقديم الحلول للعملاء، والإشراف على مجموعة من تفضيلات ومتطلبات العملاء، واتصالاتهم بالمنشأة.', '  العمل كنقطة اتصال مع العملاء الرئيسيين، وحل أي مشكلات قد تنشأ.', '  متابعة الشكاوى أو الاستفسارات الخاصة بالعملاء المهمين.', '  ']",مؤسسة عبر السوق لتقنية المعلومات,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,"['Skill data', 'التسويق', 'مبتدئ', 'كتابة المحتوى', 'مبتدئ', 'مهارات التفاوض', 'مبتدئ', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '6000.0']",دوام كامل,0 / 3,2 Years,F,6000.0,غير محدد,0,3,2,2022-12-20,Jeddah
مصمم جرافيك,26/05/1444,"['لديه الخبرة   في اخراج العروض التقديمية الرسمية وتصميم الشعارات ', 'لديه الخبرة في تصميم الانفواجرافيك وتصميم اللوحات الدعائية', 'لديه معرفه جيدة بالبرامج (فوتوشوب، واليستلاتور، إن ديزاين،  ثري دي ماكس , ادوب اكروبات بروفيشنال) .']","['لديه الخبرة   في اخراج العروض التقديمية الرسمية وتصميم الشعارات ', 'لديه الخبرة في تصميم الانفواجرافيك وتصميم اللوحات الدعائية', 'لديه معرفه جيدة بالبرامج (فوتوشوب، واليستلاتور، إن ديزاين،  ثري دي ماكس , ادوب اكروبات بروفيشنال) .']",مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,غير معروف,حائل,HAIL...,"['Salary', '7000.0']",دوام كامل,0 / 1,4 Years,M,7000.0,غير محدد,0,1,4,2022-12-20,Hail
مدخل بيانات,26/05/1444,['التمكن من استخدام برامج مايكروسفت أوفيس'],['التمكن من استخدام برامج مايكروسفت أوفيس'],مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,غير معروف,حائل,HAIL...,"['Salary', '3000.0']",دوام كامل,0 / 2,2 Years,M,3000.0,غير محدد,0,2,2,2022-12-20,Hail
مطور برامج,26/05/1444,[' تحليل  وادارة تطبيقات باستخدام الأدوات البرمجية  وقواعد البيانات'],['   تحليل  وادارة تطبيقات باستخدام الأدوات البرمجية  وقواعد البيانات'],مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,غير معروف,حائل,HAIL...,"['Salary', '9000.0']",دوام كامل,0 / 1,4 Years,M,9000.0,غير محدد,0,1,4,2022-12-20,Hail
أخصائي إدارة اداء,26/05/1444,[' فهم مبادئ الإدارة الإستراتيجية وقياس الأداء ، القدرة على التنسيق والإدارة لعدة أعمال متزامنة ، مهارات تحليله والقدرة على صنع واتخاذ القرار ، مهارات تحضير التقارير والتوصيات والملخصات التنفيذية الداعمة للقرار ، التمكن من استخدام برامج مايكروسفت أوفيس'],"[' فهم مبادئ الإدارة الإستراتيجية وقياس الأداء ، القدرة على التنسيق والإدارة لعدة أعمال متزامنة ، مهارات تحليله والقدرة على صنع واتخاذ القرار ، مهارات تحضير التقارير والتوصيات والملخصات التنفيذية الداعمة للقرار ، التمكن من استخدام برامج مايكروسفت أوفيس', '  ']",مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,غير معروف,حائل,HAIL...,"['Salary', '12000.0']",دوام كامل,0 / 1,10 Years,M,12000.0,غير محدد,0,1,10,2022-12-20,Hail
مدخل بيانات,26/05/1444,['مراجعة استمارات البيانات وتدقيقها، وإدخال وتخزين البيانات والمعلومات بجهاز الحاسب الالي'],"['   مراجعة الاستمارات المتعلقة بالبيانات وترميزها والتأكد من اكتمالها', '  إدخال البيانات والمعلومات في الحاسب الالي بحسب البرامج والنظم الاحصائية، ومراجعة رموز التصنيف للبيانات والمعلومات المدخلة، وتصويب الاخطاء فيها', '  تخزين المعلومات المدخلة', '  عمل النسخ الاحتياطية اللازمة للبيانات والمعلومات المخزنة', '  التقيد بالتعليمات المتعلقة بسرية البيانات والمعلومات', '  ']",شركة إرتقاء المتحدة لاجهزة السلامة,خاص,صغيرة فئة أ,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,"['Language data', 'العربية', 'مبتدئ', 'Professional certificate \\ License data', 'بكالوريوس', 'مفيد']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,2 Years,F,4000.0,غير محدد,0,1,2,2022-12-20,Jeddah
كيميائي,26/05/1444,['إجراء الأبحاث والتحاليل الكيميائية للعناصر والمركبات لأغراض تطوير المنتجات والعمليات والتطبيقات، وإجراء التحاليل الكمية والنوعية وتحسين الطرق التحليلية، وإجراء التجارب المخبرية لعينات من العناصر والمركبات، وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال والاختبارات.'],"['   إجراء الأبحاث والتجارب والتحاليل الكمية والنوعية للعناصر والمركبات العضوية واللاعضوية لتحديد خواصها الكيميائية وبنيتها وتفاعلاتها ودراسة وتحليل النتائج.', '  تصميم وسائل وأساليب وتجهيزات وتطوير المعادلات والعمليات والطرق لحل المشكلات الفنية العملية.', '  إجراء الأبحاث على المنتجات الكيميائية المصنعة لتطوير وتحسين الإجراءات والعمليات وجودة المنتجات.', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة المتعلقة بنتائج الدراسات الفيزيائية وسبل تطويرها، وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الغدير الدوليه للتسويق,خاص,صغيرة فئة أ,البيع بالجملة للمواد الكيميائية,"['Language data', 'الانجليزي ', 'متوسط', 'Professional certificate \\ License data', 'شهادة الهيئة الصحية للتخصصات الصحية ', 'ضروري']",مكة المكرمة,MAKKAH AL...,"['Salary', '5500.0']",دوام كامل,0 / 1,0 Years,F,5500.0,غير محدد,0,1,0,2022-12-20,Makkah
محاسب,26/05/1444,['إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.'],"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,متوسطة فئة ب,أنشطة الاستشارات الهندسية والمعمارية,"['Language data', 'الانجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,0 Years,F,5000.0,غير محدد,0,1,0,2022-12-20,Riyadh
مهندس زراعي,26/05/1444,['دراسة خصائص ومكونات الأراضي والتربة الزراعية، وإعداد تصاميم ومخططات شبكات الري والصرف الزراعي ومتابعة تركيبها، وتحديد الآلاتالزراعية المناسبة لأداء الأعمال الزراعية وتطوير استخداماتها. وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال'],"['   دراسة خصائص التربة الزراعية الفيزيائية والكيميائية ومكوناتها، ومتابعة فحص عينات النبات والتربة ومياه الري وتحليل نتائجها، ودراسة واختبار أنواع الأسمدة المناسبة وتقييم مدى استجابة المزروعات لها.', '  دراسة أنظمة الري واختيار الأنسب منها كالري السطحي أو بالرشاشات أو المحوري أو الموضعي وتصميم مخططات وشبكات الري والصرف الزراعي ومتابعة إجراءات التركيب، وتقييم كفاءة أنظمة الري وتطويرها.', '  تحديد الآلاتالزراعية المناسبة كآلات الحراثة والزراعة والرش والحصاد وآلات جرش وخلط الحبوب وإعداد برامج تشغيلها وصيانتها والتأكد من جاهزيتها.', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,خدمات جمع النفايات البلدية,"['Professional certificate \\ License data', 'الهيئة العامة للمهندسين ', 'ضروري']",مكة المكرمة,MAKKAH AL...,"['Salary', '8400.0']",دوام كامل,0 / 1,2 Years,M,8400.0,غير محدد,0,1,2,2022-12-20,Makkah
مدير عام,26/05/1444,['المشاركة في وضع الأهداف العامة والسياسات والخطط التشغيلية، والعمل على إدارة وتخطيط وتنظيم أعمال الوحدات التنظيمية التابعة بما يتوافق مع الخطط التشغيلية والبرامج التنفيذية المعتمدة، وضمان توافر كافة الموارد التقنية والبشرية التي تضمن سير العمليات اليومية بأكبر كفاءة وفعالية ممكنة.'],"['   المشاركة في وضع الأهداف والسياسات والمبادرات والخطط التشغيلية الخاصة بالإدارة العامة وتحديد الأهداف الرئيسية والقيم المستهدفة ومؤشراتها وآليات قياسها ومراجعة تقارير العمل والإنجاز ورفعها وعرضها على الإدارة العليا.', '  تحديد احتياجات الإدارة العامة من الكفاءات والمواهب والتوصية فيما يتعلق بقرارات الموارد البشرية كالمكافآت والتعيينات والترقيات وتنقلات موظفي الوحدات التنظيمية التابعة.', '  تنسيق عمل الوحدات التنظيمية التابعة والعمل على مراقبة ومتابعة أداء موظفيها وتقييم أدائهم وتحديد احتياجاتهم التدريبية والتوصية بالدورات التدريبية اللازمة والمشاركة في مراقبة نجاح هذه الدورات وفعاليتها.', '  بناء وإدامة علاقات عمل فعالة مع شركاء العمل الخارجيين والعمل على تنسيق المشاريع والجهود المشتركة، وضمان وجود قنوات تواصل داخلية فعالة تحقق مستوىً عاليًا من التكامل بين الوحدات التنظيمية التابعة.', '  ضمان توافر كافة التقنيات والوسائل الحديثة اللازمة لتمكين موظفي الوحدات التنظيمية التابعة من تطبيق مبادئ وأساليب العمل بالشكل المطلوب.', '  ']",ورشة اضواء المشاعل للحدادة والالمنيوم,خاص,صغيرة فئة أ,غير معروف,"['Skill data', 'حداد', 'متوسط', 'Language data', 'اللغة العربية ', 'محترف', 'Professional certificate \\ License data', 'حداده', 'مفيد']",المدينة المنورة,AL MADINA...,"['Salary', '4000.0']",دوام كامل,0 / 1,0 Years,M,4000.0,غير محدد,0,1,0,2022-12-20,Medina
